"name","alias_of","tlb","doc_category","doc_opcode","doc_fift","doc_stack","doc_gas","doc_description","","",""
"PUSHCONT_SHORT","","#9 x:(## 4) ssss:((8 * x) * Bit)","const_data","9xccc","[builder] PUSHCONT
[builder] CONT","- c","18","빌더`에서 만든 연속을 푸시합니다.
세부 정보:_ `0 <= x <= 15`에 대해 `x` 바이트 연속을 푸시합니다.","","",""
"","","","const_data","","<{ code }> PUSHCONT
<{ code }> CONT
CONT:<{ code }>","- c","","코드 `코드`가 있는 연속을 푸시합니다.
어셈블러는 특정 상황(예: 현재 연속에 공간이 충분하지 않은 경우)에서 `PUSHCONT`를 `PUSHREFCONT`로 바꿀 수 있다는 점에 유의하세요.","","",""
"ADD","","#A0","arithm_basic","A0","ADD","x y - x+y","18","","","",""
"SUB","","#A1","arithm_basic","A1","SUB","x y - x-y","18","","","",""
"SUBR","","#A2","arithm_basic","A2","SUBR","x y - y-x","18","스왑` `서브`에 해당합니다.","","",""
"NEGATE","","#A3","arithm_basic","A3","NEGATE","x - -x","18","1 MULCONST` 또는 `ZERO SUBR`에 해당합니다.
x=-2^256`이면 정수 오버플로 예외가 발생한다는 점에 유의하세요.","","",""
"INC","","#A4","arithm_basic","A4","INC","x - x+1","18","1 ADDCONST`에 해당합니다.","","",""
"DEC","","#A5","arithm_basic","A5","DEC","x - x-1","18","1 ADDCONST`에 해당합니다.","","",""
"ADDCONST","","#A6 cc:int8","arithm_basic","A6cc","[cc] ADDCONST
[cc] ADDINT
[-cc] SUBCONST
[-cc] SUBINT","x - x+cc","26","`-128 <= cc <= 127`.","","",""
"MULCONST","","#A7 cc:int8","arithm_basic","A7cc","[cc] MULCONST
[cc] MULINT","x - x*cc","26","`-128 <= cc <= 127`.","","",""
"MUL","","#A8","arithm_basic","A8","MUL","x y - x*y","18","","","",""
"DIV_BASE","","#A9 m:uint1 s:uint2 cdft:(Either [ d:uint2 f:uint2 ] [ d:uint2 f:uint2 tt:uint8 ])","arithm_div","A9mscdf","","","26","이것은 나눗셈의 일반적인 인코딩이며, 선택적 사전 곱셈과 나눗셈 또는 곱셈을 시프트에 의해 대체하는 옵션이 있습니다. 변수 필드는 다음과 같습니다:
0 <= m <= 1` - 사전 곱셈(`MULDIV` 및 그 변형)이 있는지 여부를 나타내며, 왼쪽 시프트로 대체될 수 있습니다.
0 <= s <= 2` - 곱셈 또는 나눗셈이 시프트에 의해 대체되었는지 여부를 나타냅니다: `s=0` - 대체 없음, `s=1` - 오른쪽 시프트로 대체된 나눗셈, `s=2` - 왼쪽 시프트로 대체된 곱셈 (`m=1`에만 가능).
0 <= c <= 1` - 시프트 연산자에 대해 상수 1바이트 인자 `tt`가 있는지 여부를 나타냅니다(`s!=0`인 경우). s=0`의 경우, `c=0`. c=1`이면 `0 <= tt <= 255`이고, 시프트는 `tt+1` 비트만큼 수행됩니다. s!=0`, `c=0`이면, 시프트 양은 `0...256` 범위의 최상위 스택 _Integer_로 인스트럭션에 제공됩니다.
1 <= d <= 3` - 어떤 나눗셈 결과가 필요한지를 나타냅니다: 1` - 몫만, `2` - 나머지 부분만, `3` - 둘 다.
0 <= f <= 2` - 반올림 모드: 0` - 바닥, `1` - 가장 가까운 정수, `2` - 천장.
아래의 모든 지침은 이것의 변형입니다.","","",""
"DIV","DIV_BASE","#A904","arithm_div","A904","DIV","x y - q","26","`q=바닥(x/y)`, `r=x-y*q`","","",""
"DIVR","DIV_BASE","#A905","arithm_div","A905","DIVR","x y - q’","26","`q'=라운드(x/y)`, `r'=x-y*q'`","","",""
"DIVC","DIV_BASE","#A906","arithm_div","A906","DIVC","x y - q''","26","`q''=CEIL(X/Y)`, `r''=X-Y*Q''`","","",""
"MOD","DIV_BASE","#A908","arithm_div","A908","MOD","x y - r","26","","","",""
"DIVMOD","DIV_BASE","#A90C","arithm_div","A90C","DIVMOD","x y - q r","26","","","",""
"DIVMODR","DIV_BASE","#A90D","arithm_div","A90D","DIVMODR","x y - q' r'","26","","","",""
"DIVMODC","DIV_BASE","#A90E","arithm_div","A90E","DIVMODC","x y - q'' r''","26","","","",""
"RSHIFTR_VAR","DIV_BASE","#A925","arithm_div","A925","RSHIFTR","x y - round(x/2^y)","26","","","",""
"RSHIFTC_VAR","DIV_BASE","#A926","arithm_div","A926","RSHIFTC","x y - ceil(x/2^y)","34","","","",""
"RSHIFTR","DIV_BASE","#A935 tt:uint8","arithm_div","A935tt","[tt+1] RSHIFTR#","x y - round(x/2^(tt+1))","34","","","",""
"RSHIFTC","DIV_BASE","#A936 tt:uint8","arithm_div","A936tt","[tt+1] RSHIFTC#","x y - ceil(x/2^(tt+1))","34","","","",""
"MODPOW2","DIV_BASE","#A938 tt:uint8","arithm_div","A938tt","[tt+1] MODPOW2#","x - x mod 2^(tt+1)","26","","","",""
"MULDIV","DIV_BASE","#A984","arithm_div","A98","MULDIV","x y z - q","26","`q=바닥(x*y/z)`","","",""
"MULDIVR","DIV_BASE","#A985","arithm_div","A985","MULDIVR","x y z - q'","26","`q'=라운드(x*y/z)`","","",""
"MULDIVMOD","DIV_BASE","#A98C","arithm_div","A98C","MULDIVMOD","x y z - q r","26","`q=floor(x*y/z)`, `r=x*y-z*q`","","",""
"MULRSHIFT_VAR","DIV_BASE","#A9A4","arithm_div","A9A4","MULRSHIFT","x y z - floor(x*y/2^z)","26","`0 <= z <= 256`","","",""
"MULRSHIFTR_VAR","DIV_BASE","#A9A5","arithm_div","A9A5","MULRSHIFTR","x y z - round(x*y/2^z)","26","`0 <= z <= 256`","","",""
"MULRSHIFTC_VAR","DIV_BASE","#A9A6","arithm_div","A9A6","MULRSHIFTC","x y z - ceil(x*y/2^z)","34","`0 <= z <= 256`","","",""
"MULRSHIFT","DIV_BASE","#A9B4 tt:uint8","arithm_div","A9B4tt","[tt+1] MULRSHIFT#","x y - floor(x*y/2^(tt+1))","34","","","",""
"MULRSHIFTR","DIV_BASE","#A9B5 tt:uint8","arithm_div","A9B5tt","[tt+1] MULRSHIFTR#","x y - round(x*y/2^(tt+1))","34","","","",""
"MULRSHIFTC","DIV_BASE","#A9B6 tt:uint8","arithm_div","A9B6tt","[tt+1] MULRSHIFTC#","x y - ceil(x*y/2^(tt+1))","26","","","",""
"LSHIFTDIV_VAR","DIV_BASE","#A9C4","arithm_div","A9C4","LSHIFTDIV","x y z - floor(2^z*x/y)","26","`0 <= z <= 256`","","",""
"LSHIFTDIVR_VAR","DIV_BASE","#A9C5","arithm_div","A9C5","LSHIFTDIVR","x y z - round(2^z*x/y)","26","`0 <= z <= 256`","","",""
"LSHIFTDIVC_VAR","DIV_BASE","#A9C6","arithm_div","A9C6","LSHIFTDIVC","x y z - ceil(2^z*x/y)","34","`0 <= z <= 256`","","",""
"LSHIFTDIV","DIV_BASE","#A9D4 tt:uint8","arithm_div","A9D4tt","[tt+1] LSHIFT#DIV","x y - floor(2^(tt+1)*x/y)","34","","","",""
"LSHIFTDIVR","DIV_BASE","#A9D5 tt:uint8","arithm_div","A9D5tt","[tt+1] LSHIFT#DIVR","x y - round(2^(tt+1)*x/y)","34","","","",""
"LSHIFTDIVC","DIV_BASE","#A9D6 tt:uint8","arithm_div","A9D6tt","[tt+1] LSHIFT#DIVC","x y - ceil(2^(tt+1)*x/y)","26","","","",""
"LSHIFT","","#AA cc:uint8","arithm_logical","AAcc","[cc+1] LSHIFT#","x - x*2^(cc+1)","26","`0 <= cc <= 255`","","",""
"RSHIFT","","#AB cc:uint8","arithm_logical","ABcc","[cc+1] RSHIFT#","x - floor(x/2^(cc+1))","18","`0 <= cc <= 255`","","",""
"LSHIFT_VAR","","#AC","arithm_logical","AC","LSHIFT","x y - x*2^y","18","`0 <= y <= 1023`","","",""
"RSHIFT_VAR","","#AD","arithm_logical","AD","RSHIFT","x y - floor(x/2^y)","18","`0 <= y <= 1023`","","",""
"POW2","","#AE","arithm_logical","AE","POW2","y - 2^y","18","0 <= y <= 1023`
`ONE` `SWAP` `LSHIFT`에 해당합니다.","","",""
"AND","","#B0","arithm_logical","B0","AND","x y - x&y","18","비트 단위로, 부호가 무한대로 확장된 두 개의 부호 있는 정수 `x`와 `y`입니다.","","",""
"OR","","#B1","arithm_logical","B1","OR","x y - x|y","18","비트 단위 또는 두 개의 정수입니다.","","",""
"XOR","","#B2","arithm_logical","B2","XOR","x y - x xor y","18","두 정수의 비트단위 x 또는.","","",""
"NOT","","#B3","arithm_logical","B3","NOT","x - ~x","26","정수가 아닌 비트 단위입니다.","","",""
"FITS","","#B4 cc:uint8","arithm_logical","B4cc","[cc+1] FITS","x - x","26/76","x`가 `0 <= cc <= 255`에 대해 `cc+1` 비트 부호 정수인지 확인합니다(즉, `-2^cc <= x < 2^cc`인지 여부).
그렇지 않은 경우 정수 오버플로 예외를 트리거하거나 `x`를 `NaN`(조용한 버전)으로 바꿉니다.","","",""
"CHKBOOL","FITS","#B400","arithm_logical","B400","CHKBOOL","x - x","26/76","x`가 '부울 값'(즉, 0 또는 -1)인지 여부를 확인합니다.","","",""
"UFITS","","#B5 cc:uint8","arithm_logical","B5cc","[cc+1] UFITS","x - x","26/76","0 <= cc <= 255`에 대해 `x`가 `cc+1` 비트 부호 없는 정수인지 확인합니다(즉, `0 <= x < 2^(cc+1)`인지 여부).","","",""
"CHKBIT","UFITS","#B500","arithm_logical","B500","CHKBIT","x - x","26/76","'x'가 이진수(즉, 0 또는 1)인지 여부를 확인합니다.","","",""
"FITSX","","#B600","arithm_logical","B600","FITSX","x c - x","26/76","x`가 `0 <= c <= 1023`에 대해 `c` 비트 부호 정수인지 확인합니다.","","",""
"UFITSX","","#B601","arithm_logical","B601","UFITSX","x c - x","26/76","0 <= c <= 1023`에 대해 `x`가 `c` 비트 부호 없는 정수인지 확인합니다.","","",""
"BITSIZE","","#B602","arithm_logical","B602","BITSIZE","x - c","26","x`가 `c` 비트 부호 정수(`-2^(c-1) <= c < 2^(c-1)`)에 맞도록 가장 작은 `c >= 0`을 계산합니다.","","",""
"UBITSIZE","","#B603","arithm_logical","B603","UBITSIZE","x - c","26","x`가 `c` 비트 부호 없는 정수(`0 <= x < 2^c`)에 맞도록 가장 작은 `c >= 0`을 계산하거나 범위 검사 예외를 던집니다.","","",""
"MIN","","#B608","arithm_logical","B608","MIN","x y - x or y","26","두 개의 정수 `x`와 `y`의 최소값을 계산합니다.","","",""
"MAX","","#B609","arithm_logical","B609","MAX","x y - x or y","26","두 개의 정수 `x`와 `y`의 최대값을 계산합니다.","","",""
"MINMAX","","#B60A","arithm_logical","B60A","MINMAX
INTSORT2","x y - x y or y x","26","두 정수를 정렬합니다. 이 연산의 조용한 버전은 인자 중 하나라도 `N`인 경우 두 개의 `N`을 반환합니다.","","",""
"ABS","","#B60B","arithm_logical","B60B","ABS","x - |x|","26","정수 `x`의 절대값을 계산합니다.","","",""
"QADD","","#B7A0","arithm_quiet","B7A0","QADD","x y - x+y","26","","","",""
"QSUB","","#B7A1","arithm_quiet","B7A1","QSUB","x y - x-y","26","","","",""
"QSUBR","","#B7A2","arithm_quiet","B7A2","QSUBR","x y - y-x","26","","","",""
"QNEGATE","","#B7A3","arithm_quiet","B7A3","QNEGATE","x - -x","26","","","",""
"QINC","","#B7A4","arithm_quiet","B7A4","QINC","x - x+1","26","","","",""
"QDEC","","#B7A5","arithm_quiet","B7A5","QDEC","x - x-1","26","","","",""
"QMUL","","#B7A8","arithm_quiet","B7A8","QMUL","x y - x*y","26","","","",""
"QDIV","","#B7A904","arithm_quiet","B7A904","QDIV","x y - q","34","나눗셈은 `y=0`이면 `NaN`을 반환합니다.","","",""
"QDIVR","","#B7A905","arithm_quiet","B7A905","QDIVR","x y - q’","34","","","",""
"QDIVC","","#B7A906","arithm_quiet","B7A906","QDIVC","x y - q''","34","","","",""
"QMOD","","#B7A908","arithm_quiet","B7A908","QMOD","x y - r","34","","","",""
"QDIVMOD","","#B7A90C","arithm_quiet","B7A90C","QDIVMOD","x y - q r","34","","","",""
"QDIVMODR","","#B7A90D","arithm_quiet","B7A90D","QDIVMODR","x y - q' r'","34","","","",""
"QDIVMODC","","#B7A90E","arithm_quiet","B7A90E","QDIVMODC","x y - q'' r''","34","","","",""
"QMULDIVR","","#B7A985","arithm_quiet","B7A985","QMULDIVR","x y z - q'","34","","","",""
"QMULDIVMOD","","#B7A98C","arithm_quiet","B7A98C","QMULDIVMOD","x y z - q r","34","","","",""
"QLSHIFT","","#B7AC","arithm_quiet","B7AC","QLSHIFT","x y - x*2^y","26","","","",""
"QRSHIFT","","#B7AD","arithm_quiet","B7AD","QRSHIFT","x y - floor(x/2^y)","26","","","",""
"QPOW2","","#B7AE","arithm_quiet","B7AE","QPOW2","y - 2^y","26","","","",""
"QAND","","#B7B0","arithm_quiet","B7B0","QAND","x y - x&y","26","","","",""
"QOR","","#B7B1","arithm_quiet","B7B1","QOR","x y - x|y","26","","","",""
"QXOR","","#B7B2","arithm_quiet","B7B2","QXOR","x y - x xor y","26","","","",""
"QNOT","","#B7B3","arithm_quiet","B7B3","QNOT","x - ~x","26","","","",""
"QFITS","","#B7B4 cc:uint8","arithm_quiet","B7B4cc","[cc+1] QFITS","x - x","34","x`가 `cc+1` 비트 부호 정수가 아닌 경우 `NaN`으로 바꾸고, 그렇지 않은 경우 그대로 둡니다.","","",""
"QUFITS","","#B7B5 cc:uint8","arithm_quiet","B7B5cc","[cc+1] QUFITS","x - x","34","x가 `cc+1` 비트 부호 없는 정수가 아닌 경우 `x`를 `NaN`으로 바꾸고, 그렇지 않은 경우 그대로 둡니다.","","",""
"QFITSX","","#B7B600","arithm_quiet","B7B600","QFITSX","x c - x","34","x가 c비트 부호 정수가 아닌 경우 `x`를 `NaN`으로 바꾸고, 그렇지 않은 경우 그대로 둡니다.","","",""
"QUFITSX","","#B7B601","arithm_quiet","B7B601","QUFITSX","x c - x","34","x가 c비트 부호 없는 정수가 아닌 경우 `x`를 `NaN`으로 바꾸고, 그렇지 않은 경우 그대로 둡니다.","","",""
"SGN","","#B8","compare_int","B8","SGN","x - sgn(x)","18","x<0`, `0` if `x=0`, `1` if `x>0`이면 `x` 정수의 부호를 계산합니다:
`-1`.","","",""
"LESS","","#B9","compare_int","B9","LESS","x y - x<y","18","x<y`이면 `-1`, 그렇지 않으면 `0`을 반환합니다.","","",""
"EQUAL","","#BA","compare_int","BA","EQUAL","x y - x=y","18","x=y`이면 `-1`을 반환하고, 그렇지 않으면 `0`을 반환합니다.","","",""
"LEQ","","#BB","compare_int","BB","LEQ","x y - x<=y","18","","","",""
"GREATER","","#BC","compare_int","BC","GREATER","x y - x>y","18","","","",""
"NEQ","","#BD","compare_int","BD","NEQ","x y - x!=y","18","같음` `아님`에 해당합니다.","","",""
"GEQ","","#BE","compare_int","BE","GEQ","x y - x>=y","18","'적다' '아니다'에 해당합니다.","","",""
"CMP","","#BF","compare_int","BF","CMP","x y - sgn(x-y)","18","x-y`의 부호를 계산합니다:
`-1` if `x<y`, `0` if `x=y`, `1` if `x>y`.
여기서 `x` 또는 `y`가 `NaN`이 아니면 정수 오버플로가 발생할 수 없습니다.","","",""
"EQINT","","#C0 yy:int8","compare_int","C0yy","[yy] EQINT","x - x=yy","26","x=yy`이면 `-1`을 반환하고, 그렇지 않으면 `0`을 반환합니다.
2^7 <= yy < 2^7`.","","",""
"ISZERO","EQINT","#C000","compare_int","C000","ISZERO","x - x=0","26","정수가 0인지 확인합니다. 포스의 `0=`에 해당합니다.","","",""
"LESSINT","","#C1 yy:int8","compare_int","C1yy","[yy] LESSINT
[yy-1] LEQINT","x - x<yy","26","x<yy`이면 `-1`을 반환하고, 그렇지 않으면 `0`을 반환합니다.
2^7 <= yy < 2^7`.","","",""
"ISNEG","LESSINT","#C100","compare_int","C100","ISNEG","x - x<0","26","정수가 음수인지 확인합니다. 포스의 `0<`에 해당합니다.","","",""
"ISNPOS","LESSINT","#C101","compare_int","C101","ISNPOS","x - x<=0","26","정수가 양수가 아닌지 확인합니다.","","",""
"GTINT","","#C2 yy:int8","compare_int","C2yy","[yy] GTINT
[yy+1] GEQINT","x - x>yy","26","x>yy`이면 `-1`을 반환하고, 그렇지 않으면 `0`을 반환합니다.
2^7 <= yy < 2^7`.","","",""
"ISPOS","GTINT","#C200","compare_int","C200","ISPOS","x - x>0","26","정수가 양수인지 확인합니다. 포스의 `0>`에 해당합니다.","","",""
"ISNNEG","GTINT","#C2FF","compare_int","C2FF","ISNNEG","x - x >=0","26","정수가 음수가 아닌지 확인합니다.","","",""
"NEQINT","","#C3 yy:int8","compare_int","C3yy","[yy] NEQINT","x - x!=yy","26","x!=yy`이면 `-1`을 반환하고, 그렇지 않으면 `0`을 반환합니다.
2^7 <= yy < 2^7`.","","",""
"ISNAN","","#C4","compare_int","C4","ISNAN","x - x=NaN","18","x`가 `NaN`인지 확인합니다.","","",""
"CHKNAN","","#C5","compare_int","C5","CHKNAN","x - x","18/68","x`가 `NaN`이면 산술 오버플로 예외를 던집니다.","","",""
"SEMPTY","","#C700","compare_other","C700","SEMPTY","s - ?","26","슬라이스_ `s`가 비어 있는지(즉, 데이터 비트와 셀 참조를 포함하지 않는지) 확인합니다.","","",""
"SDEMPTY","","#C701","compare_other","C701","SDEMPTY","s - ?","26","슬라이스_ `s`에 데이터 비트가 없는지 확인합니다.","","",""
"SREMPTY","","#C702","compare_other","C702","SREMPTY","s - ?","26","슬라이스_ `s`에 참조가 없는지 확인합니다.","","",""
"SDFIRST","","#C703","compare_other","C703","SDFIRST","s - ?","26","슬라이스_ `s`의 첫 번째 비트가 1인지 확인합니다.","","",""
"SDLEXCMP","","#C704","compare_other","C704","SDLEXCMP","s s' - x","26","s`의 데이터를 사전적으로 `s'의 데이터와 비교하여 결과에 따라 `-1`, 0 또는 1을 반환합니다.","","",""
"SDEQ","","#C705","compare_other","C705","SDEQ","s s' - ?","26","s`와 `s'의 데이터 부분이 일치하는지, 즉 `SDLEXCMP` `ISZERO`에 해당하는지 확인합니다.","","",""
"SDPFX","","#C708","compare_other","C708","SDPFX","s s' - ?","26","s`가 `s'의 접두사인지 확인합니다.","","",""
"SDPFXREV","","#C709","compare_other","C709","SDPFXREV","s s' - ?","26","s'`가 `SWAP` `SDPFX`에 해당하는 `s`의 접두사인지 확인합니다.","","",""
"SDPPFX","","#C70A","compare_other","C70A","SDPPFX","s s' - ?","26","s`가 `s'`의 올바른 접두사인지(즉, `s'`와 구별되는 접두사인지) 확인합니다.","","",""
"SDPPFXREV","","#C70B","compare_other","C70B","SDPPFXREV","s s' - ?","26","'s'가 `s`의 올바른 접두사인지 확인합니다.","","",""
"SDSFX","","#C70C","compare_other","C70C","SDSFX","s s' - ?","26","s`가 `s'의 접미사인지 여부를 확인합니다.","","",""
"SDSFXREV","","#C70D","compare_other","C70D","SDSFXREV","s s' - ?","26","s'`가 `s`의 접미사인지 확인합니다.","","",""
"SDPSFX","","#C70E","compare_other","C70E","SDPSFX","s s' - ?","26","s`가 `s'의 올바른 접미사인지 확인합니다.","","",""
"SDPSFXREV","","#C70F","compare_other","C70F","SDPSFXREV","s s' - ?","26","'s'가 `s`의 올바른 접미사인지 확인합니다.","","",""
"SDCNTLEAD0","","#C710","compare_other","C710","SDCNTLEAD0","s - n","26","s`에서 선행 0의 개수를 반환합니다.","","",""
"SDCNTLEAD1","","#C711","compare_other","C711","SDCNTLEAD1","s - n","26","선행하는 `s`의 개수를 반환합니다.","","",""
"SDCNTTRAIL0","","#C712","compare_other","C712","SDCNTTRAIL0","s - n","26","뒤에 오는 0의 개수를 `s`로 반환합니다.","","",""
"SDCNTTRAIL1","","#C713","compare_other","C713","SDCNTTRAIL1","s - n","26","뒤에 오는 `s`의 개수를 반환합니다.","","",""
"NEWC","","#C8","cell_build","C8","NEWC","- b","18","빈 _빌더_를 새로 생성합니다.","","",""
"ENDC","","#C9","cell_build","C9","ENDC","b - c","518","빌더_를 일반 _셀_로 변환합니다.","","",""
"STI","","#CA cc:uint8","cell_build","CAcc","[cc+1] STI","x b - b'","26","부호화된 `cc+1` 비트 정수 `x`를 `0 <= cc <= 255`에 대해 _Builder_ `b`에 저장하고, `x`가 `cc+1` 비트에 맞지 않으면 범위 검사 예외를 던집니다.","","",""
"STU","","#CB cc:uint8","cell_build","CBcc","[cc+1] STU","x b - b'","26","부호 없는 `cc+1` 비트 정수 `x`를 _Builder_ `b`에 저장합니다. 다른 모든 면에서 `STI`와 유사합니다.","","",""
"STREF","","#CC","cell_build","CC","STREF","c b - b'","18","셀_ `c`에 대한 참조를 _빌더_ `b`에 저장합니다.","","",""
"STBREFR","","#CD","cell_build","CD","STBREFR
ENDCST","b b'' - b","518","엔디` `스왑` `스트레프`에 해당합니다.","","",""
"STSLICE","","#CE","cell_build","CE","STSLICE","s b - b'","18","슬라이스_ `s`를 _빌더_ `b`에 저장합니다.","","",""
"STIX","","#CF00","cell_build","CF00","STIX","x b l - b'","26","0 <= l <= 257`에 대해 부호화된 `l`비트 정수 `x`를 `b`에 저장합니다.","","",""
"STUX","","#CF01","cell_build","CF01","STUX","x b l - b'","26","부호 없는 `l`비트 정수 `x`를 `0 <= l <= 256`에 대해 `b`에 저장합니다.","","",""
"STIXR","","#CF02","cell_build","CF02","STIXR","b x l - b'","26","STIX`와 유사하지만 인자 순서가 다릅니다.","","",""
"STUXR","","#CF03","cell_build","CF03","STUXR","b x l - b'","26","STUX`와 유사하지만 인자 순서가 다릅니다.","","",""
"STIXQ","","#CF04","cell_build","CF04","STIXQ","x b l - x b f or b' 0","26","STIX`의 조용한 버전. b`에 공백이 없으면, `b'=b`와 `f=-1`을 설정합니다.
x`가 `l` 비트에 맞지 않으면, `b'=b`와 `f=1`을 설정합니다.
연산이 성공하면 `b'`는 새로운 _Builder_가 되고 `f=0`이 됩니다.
그러나 `0 <= l <= 257`, 그렇지 않은 경우 범위 검사 예외가 발생합니다.","","",""
"STUXQ","","#CF05","cell_build","CF05","STUXQ","x b l - x b f or b' 0","26","조용한 버전의 `STUX`.","","",""
"STIXRQ","","#CF06","cell_build","CF06","STIXRQ","b x l - b x f or b' 0","26","조용한 버전의 'STIXR'.","","",""
"STUXRQ","","#CF07","cell_build","CF07","STUXRQ","b x l - b x f or b' 0","26","조용한 버전의 `STUXR`.","","",""
"STI_ALT","","#CF08 cc:uint8","cell_build","CF08cc","[cc+1] STI_l","x b - b'","34","'[cc+1] STI'의 긴 버전입니다.","","",""
"STU_ALT","","#CF09 cc:uint8","cell_build","CF09cc","[cc+1] STU_l","x b - b'","34","'[cc+1] STU'의 긴 버전입니다.","","",""
"STIR","","#CF0A cc:uint8","cell_build","CF0Acc","[cc+1] STIR","b x - b'","34","스왑` '[cc+1] STI'와 동일합니다.","","",""
"STUR","","#CF0B cc:uint8","cell_build","CF0Bcc","[cc+1] STUR","b x - b'","34","SWAP` `[cc+1] STU`에 해당합니다.","","",""
"STIQ","","#CF0C cc:uint8","cell_build","CF0Ccc","[cc+1] STIQ","x b - x b f or b' 0","34","조용한 버전의 `STI`.","","",""
"STUQ","","#CF0D cc:uint8","cell_build","CF0Dcc","[cc+1] STUQ","x b - x b f or b' 0","34","STU`의 조용한 버전입니다.","","",""
"STIRQ","","#CF0E cc:uint8","cell_build","CF0Ecc","[cc+1] STIRQ","b x - b x f or b' 0","34","조용한 버전의 `STIR`.","","",""
"STURQ","","#CF0F cc:uint8","cell_build","CF0Fcc","[cc+1] STURQ","b x - b x f or b' 0","34","조용한 버전의 `STUR`.","","",""
"STREF_ALT","","#CF10","cell_build","CF10","STREF_l","c b - b'","26","더 긴 버전의 `STREF`입니다.","","",""
"STBREF","","#CF11","cell_build","CF11","STBREF","b' b - b''","526","SWAP` `STBREFR`에 해당합니다.","","",""
"STSLICE_ALT","","#CF12","cell_build","CF12","STSLICE_l","s b - b'","26","더 긴 버전의 `STSLICE`입니다.","","",""
"STB","","#CF13","cell_build","CF13","STB","b' b - b''","26","빌더_ `b'`의 모든 데이터를 _빌더_ `b`에 추가합니다.","","",""
"STREFR","","#CF14","cell_build","CF14","STREFR","b c - b'","26","스왑` `STREF`에 해당합니다.","","",""
"STBREFR_ALT","","#CF15","cell_build","CF15","STBREFR_l","b b' - b''","526","더 긴 `STBREFR` 인코딩.","","",""
"STSLICER","","#CF16","cell_build","CF16","STSLICER","b s - b'","26","스왑` `STSLICE`에 해당합니다.","","",""
"STBR","","#CF17","cell_build","CF17","STBR
BCONCAT","b b' - b''","26","두 빌더를 연결합니다.
SWAP` `STB`에 해당합니다.","","",""
"STREFQ","","#CF18","cell_build","CF18","STREFQ","c b - c b -1 or b' 0","26","조용한 버전의 `STREF`.","","",""
"STBREFQ","","#CF19","cell_build","CF19","STBREFQ","b' b - b' b -1 or b'' 0","526","조용한 버전의 `STBREF`.","","",""
"STSLICEQ","","#CF1A","cell_build","CF1A","STSLICEQ","s b - s b -1 or b' 0","26","조용한 버전의 `STSLICE`.","","",""
"STBQ","","#CF1B","cell_build","CF1B","STBQ","b' b - b' b -1 or b'' 0","26","조용한 버전의 `STB`.","","",""
"STREFRQ","","#CF1C","cell_build","CF1C","STREFRQ","b c - b c -1 or b' 0","26","조용한 버전의 `STREFR`.","","",""
"STBREFRQ","","#CF1D","cell_build","CF1D","STBREFRQ","b b' - b b' -1 or b'' 0","526","조용한 버전의 `STBREFR`.","","",""
"STSLICERQ","","#CF1E","cell_build","CF1E","STSLICERQ","b s - b s -1 or b'' 0","26","조용한 버전의 `STSLICER`.","","",""
"STBRQ","","#CF1F","cell_build","CF1F","STBRQ
BCONCATQ","b b' - b b' -1 or b'' 0","26","STBR`의 조용한 버전입니다.","","",""
"STREFCONST","","#CF20 c:^Cell","cell_build","CF20","[ref] STREFCONST","b - b’","26","푸시레프` `스트레프`에 해당합니다.","","",""
"STREF2CONST","","#CF21 c1:^Cell c2:^Cell","cell_build","CF21","[ref] [ref] STREF2CONST","b - b’","26","STREFCONST` `STREFCONST`와 동일합니다.","","",""
"ENDXC","","#CF23","cell_build","CF23","","b x - c","526","x!=0`이면, _Builder_ `b`에서 _special_ 또는 _exotic_ 셀을 생성합니다.
이색 셀의 유형은 `b`의 처음 8비트에 저장되어야 합니다.
x=0`이면 `ENDC`에 해당합니다. 그렇지 않으면 이색 셀을 생성하기 전에 `b`의 데이터 및 참조에 대한 유효성 검사가 수행됩니다.","","",""
"STILE4","","#CF28","cell_build","CF28","STILE4","x b - b'","26","리틀 엔디안 부호 32비트 정수를 저장합니다.","","",""
"STULE4","","#CF29","cell_build","CF29","STULE4","x b - b'","26","리틀 엔디안 부호 없는 32비트 정수를 저장합니다.","","",""
"STILE8","","#CF2A","cell_build","CF2A","STILE8","x b - b'","26","리틀 엔디안 부호 64비트 정수를 저장합니다.","","",""
"STULE8","","#CF2B","cell_build","CF2B","STULE8","x b - b'","26","리틀 엔디안 부호 없는 64비트 정수를 저장합니다.","","",""
"BDEPTH","","#CF30","cell_build","CF30","BDEPTH","b - x","26","빌더_ `b`의 깊이를 반환합니다. b`에 저장된 셀 참조가 없으면 `x=0`이고, 그렇지 않으면 `x`는 `b`에서 참조된 셀의 최대 깊이에 1을 더한 값입니다.","","",""
"BBITS","","#CF31","cell_build","CF31","BBITS","b - x","26","빌더_ `b`에 이미 저장된 데이터 비트 수를 반환합니다.","","",""
"BREFS","","#CF32","cell_build","CF32","BREFS","b - y","26","b`에 이미 저장된 셀 참조의 수를 반환합니다.","","",""
"BBITREFS","","#CF33","cell_build","CF33","BBITREFS","b - x y","26","데이터 비트와 `b`의 셀 참조 수를 모두 반환합니다.","","",""
"BREMBITS","","#CF35","cell_build","CF35","BREMBITS","b - x'","26","여전히 `b`에 저장할 수 있는 데이터 비트 수를 반환합니다.","","",""
